Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality
2025-04-06,S004,P0018,Toys,North,314,161,115,142.4,47.85,10,Rainy,1,46.86,Spring
2025-04-06,S004,P0019,Groceries,West,477,309,84,332.54,98.73,20,Rainy,0,101.99,Summer
2025-04-06,S004,P0020,Electronics,East,319,18,145,18.95,48.34,10,Rainy,0,43.76,Autumn
2025-04-06,S005,P0001,Groceries,North,357,35,78,41.59,37.9,20,Snowy,1,39.26,Summer
2025-04-06,S005,P0002,Groceries,North,419,364,64,305.1,77.98,0,Cloudy,0,81.2,Summer
2025-04-06,S005,P0003,Electronics,South,120,87,56,96.37,14.86,15,Rainy,0,15.64,Autumn
2025-04-06,S005,P0004,Furniture,North,462,393,82,409.98,54.83,0,Sunny,1,51.79,Autumn
2025-04-06,S005,P0005,Toys,West,68,60,112,63.59,26.03,15,Snowy,1,26.97,Autumn
2025-04-06,S005,P0006,Groceries,North,276,142,4,148.36,75.26,20,Rainy,0,74.5,Autumn
2025-04-06,S005,P0007,Clothing,East,285,223,74,255.58,62.7,0,Snowy,0,68.91,Summer
2025-04-06,S005,P0008,Groceries,North,166,84,131,77.06,38.66,15,Sunny,1,37.14,Summer
2025-04-06,S005,P0009,Furniture,North,463,256,170,265.22,24.8,0,Cloudy,1,24.7,Winter
2025-04-06,S005,P0010,Clothing,North,115,47,89,56.24,82.76,0,Snowy,0,74.77,Winter
2025-04-06,S005,P0011,Clothing,East,207,0,100,0.0,81.56,20,Rainy,0,85.92,Spring
2025-04-06,S005,P0012,Clothing,North,348,286,42,341.85,49.86,20,Snowy,1,48.65,Autumn
2025-04-06,S005,P0013,Groceries,South,471,392,193,350.42,27.49,10,Snowy,1,27.26,Spring
2025-04-06,S005,P0014,Electronics,East,264,50,40,56.51,84.25,5,Snowy,1,87.3,Winter
2025-04-06,S005,P0015,Furniture,South,135,113,136,133.72,91.22,0,Sunny,0,88.62,Summer
2025-04-06,S005,P0016,Furniture,South,311,44,12,39.15,75.67,5,Sunny,1,68.16,Summer
2025-04-06,S005,P0017,Electronics,East,243,51,69,60.26,60.79,20,Cloudy,1,59.96,Summer
2025-04-06,S005,P0018,Clothing,South,491,142,174,148.77,37.21,20,Rainy,1,33.62,Autumn
2025-04-06,S005,P0019,Toys,West,463,24,126,23.88,40.02,0,Rainy,0,40.12,Spring
2025-04-06,S005,P0020,Groceries,East,189,19,128,16.39,44.02,15,Sunny,1,45.5,Autumn
