Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality
2025-04-15,S003,P0019,Furniture,East,429,219,46,207.74,84.52,15,Rainy,0,89.12,Spring
2025-04-15,S003,P0020,Groceries,East,131,22,71,21.34,34.94,20,Cloudy,0,34.56,Autumn
2025-04-15,S004,P0001,Clothing,West,235,197,63,198.37,40.5,0,Cloudy,1,40.85,Winter
2025-04-15,S004,P0002,Toys,North,265,151,172,155.89,95.6,10,Snowy,1,97.23,Spring
2025-04-15,S004,P0003,Furniture,South,105,94,10,108.12,98.84,20,Rainy,1,103.21,Autumn
2025-04-15,S004,P0004,Electronics,East,65,23,57,20.23,95.78,10,Cloudy,1,104.45,Winter
2025-04-15,S004,P0005,Groceries,East,290,91,36,99.93,76.11,10,Snowy,1,80.44,Spring
2025-04-15,S004,P0006,Clothing,South,183,167,200,142.47,65.44,20,Rainy,1,62.47,Winter
2025-04-15,S004,P0007,Furniture,South,238,232,96,277.4,99.09,0,Rainy,0,98.63,Autumn
2025-04-15,S004,P0008,Clothing,West,318,315,66,362.54,34.54,10,Sunny,0,31.47,Autumn
2025-04-15,S004,P0009,Clothing,South,228,58,115,62.95,86.71,10,Snowy,0,86.56,Spring
2025-04-15,S004,P0010,Toys,West,283,203,12,191.9,94.55,15,Rainy,1,98.35,Autumn
2025-04-15,S004,P0011,Toys,North,294,269,60,215.37,25.62,5,Snowy,0,26.14,Autumn
2025-04-15,S004,P0012,Clothing,North,487,154,1,162.35,96.08,5,Snowy,0,98.11,Winter
2025-04-15,S004,P0013,Furniture,East,439,146,172,167.39,10.99,10,Sunny,0,11.85,Autumn
2025-04-15,S004,P0014,Clothing,North,66,13,45,10.82,14.43,5,Rainy,0,13.85,Spring
2025-04-15,S004,P0015,Groceries,South,366,8,179,6.89,49.67,10,Rainy,0,45.71,Autumn
2025-04-15,S004,P0016,Groceries,South,243,29,96,26.61,96.84,5,Sunny,1,104.25,Spring
2025-04-15,S004,P0017,Toys,North,370,332,130,392.31,66.94,0,Snowy,0,63.43,Winter
2025-04-15,S004,P0018,Furniture,North,381,143,0,156.98,55.88,5,Sunny,1,50.58,Winter
2025-04-15,S004,P0019,Groceries,South,198,89,163,82.07,75.04,15,Sunny,0,73.16,Summer
2025-04-15,S004,P0020,Clothing,North,480,366,51,395.78,38.68,5,Cloudy,0,41.79,Winter
2025-04-15,S005,P0001,Furniture,East,88,75,52,71.22,79.83,10,Rainy,0,77.46,Autumn
2025-04-15,S005,P0002,Groceries,East,310,115,86,104.14,75.68,15,Rainy,1,81.39,Winter
2025-04-15,S005,P0003,Furniture,West,406,114,31,95.96,60.68,10,Snowy,1,60.97,Spring
2025-04-15,S005,P0004,Toys,South,52,49,160,47.59,33.19,5,Rainy,1,32.0,Winter
2025-04-15,S005,P0005,Electronics,East,398,389,26,311.98,50.88,0,Snowy,1,54.8,Winter
2025-04-15,S005,P0006,Toys,West,479,109,76,91.58,19.97,20,Snowy,0,18.45,Winter
2025-04-15,S005,P0007,Electronics,East,355,343,185,353.48,17.83,5,Cloudy,0,16.11,Summer
2025-04-15,S005,P0008,Toys,West,137,100,80,80.63,34.15,15,Sunny,1,36.82,Winter
2025-04-15,S005,P0009,Toys,South,419,159,86,160.19,54.79,5,Rainy,0,49.93,Spring
2025-04-15,S005,P0010,Toys,North,144,142,178,117.29,75.27,0,Snowy,1,73.31,Winter
2025-04-15,S005,P0011,Toys,East,197,115,88,99.69,48.29,10,Cloudy,0,48.95,Summer
2025-04-15,S005,P0012,Clothing,South,58,17,11,14.0,22.15,20,Rainy,0,22.26,Winter
2025-04-15,S005,P0013,Furniture,East,84,46,167,45.7,22.86,20,Cloudy,1,21.55,Autumn
2025-04-15,S005,P0014,Clothing,North,70,54,58,60.11,81.77,0,Sunny,0,84.54,Summer
2025-04-15,S005,P0015,Electronics,North,322,185,126,174.2,45.24,10,Sunny,1,41.0,Summer
2025-04-15,S005,P0016,Clothing,West,253,53,36,48.8,57.56,15,Sunny,1,55.72,Summer
2025-04-15,S005,P0017,Toys,West,415,15,166,13.12,66.64,5,Rainy,0,61.14,Spring
2025-04-15,S005,P0018,Clothing,South,127,55,116,60.33,42.85,5,Rainy,1,42.43,Winter
2025-04-15,S005,P0019,Clothing,East,77,77,185,73.82,44.19,5,Rainy,1,45.01,Spring
2025-04-15,S005,P0020,Electronics,North,349,168,142,196.76,39.04,15,Sunny,0,41.24,Autumn
