Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality
2025-04-06,S002,P0001,Clothing,North,265,121,174,123.33,58.45,20,Snowy,1,58.0,Winter
2025-04-06,S002,P0002,Toys,East,412,194,53,157.05,13.13,15,Rainy,1,12.39,Summer
2025-04-06,S002,P0003,Furniture,South,453,309,68,309.74,29.48,10,Rainy,1,29.15,Spring
2025-04-06,S002,P0004,Toys,South,188,7,184,7.44,57.28,10,Rainy,0,61.7,Spring
2025-04-06,S002,P0005,Groceries,West,305,227,62,226.45,25.85,5,Snowy,1,26.5,Summer
2025-04-06,S002,P0006,Toys,East,140,90,71,80.81,35.61,20,Sunny,1,32.17,Summer
2025-04-06,S002,P0007,Clothing,East,373,166,5,199.01,23.19,0,Snowy,1,24.71,Spring
2025-04-06,S002,P0008,Furniture,West,320,67,158,57.18,71.95,0,Cloudy,1,71.66,Summer
2025-04-06,S002,P0009,Electronics,West,496,323,153,323.06,32.24,10,Snowy,1,32.8,Spring
2025-04-06,S002,P0010,Toys,North,122,6,73,6.44,37.0,0,Cloudy,1,37.46,Autumn
2025-04-06,S002,P0011,Groceries,North,313,220,160,239.27,93.33,20,Cloudy,1,87.87,Autumn
2025-04-06,S002,P0012,Clothing,South,115,28,107,27.51,40.99,0,Snowy,0,37.52,Winter
2025-04-06,S002,P0013,Clothing,West,434,171,44,188.71,11.63,15,Cloudy,0,10.49,Winter
2025-04-06,S002,P0014,Electronics,West,163,37,91,30.91,12.78,10,Sunny,0,11.89,Summer
2025-04-06,S002,P0015,Clothing,North,178,33,186,34.58,63.19,10,Rainy,1,63.6,Spring
2025-04-06,S002,P0016,Groceries,North,495,68,112,58.71,31.25,20,Rainy,0,33.43,Spring
2025-04-06,S002,P0017,Toys,West,378,112,67,91.77,35.02,20,Rainy,1,38.04,Spring
2025-04-06,S002,P0018,Groceries,South,57,51,1,46.72,73.83,20,Snowy,1,68.25,Summer
2025-04-06,S002,P0019,Furniture,South,64,9,25,8.87,87.89,20,Snowy,1,87.32,Spring
2025-04-06,S002,P0020,Groceries,West,353,301,120,293.83,35.35,5,Snowy,1,36.41,Summer
2025-04-06,S003,P0001,Clothing,West,131,28,66,23.1,38.6,10,Cloudy,0,38.64,Spring
2025-04-06,S003,P0002,Groceries,North,295,77,22,73.93,86.02,0,Cloudy,0,92.26,Spring
2025-04-06,S003,P0003,Clothing,East,229,154,117,158.69,53.59,10,Snowy,1,53.3,Summer
2025-04-06,S003,P0004,Electronics,South,493,196,165,214.76,27.75,5,Snowy,1,28.75,Winter
2025-04-06,S003,P0005,Groceries,East,206,146,7,118.61,83.44,10,Sunny,0,84.73,Spring
2025-04-06,S003,P0006,Furniture,East,385,351,45,328.8,60.44,0,Cloudy,0,54.41,Winter
2025-04-06,S003,P0007,Electronics,South,142,102,62,107.76,10.04,5,Cloudy,0,9.46,Spring
2025-04-06,S003,P0008,Clothing,South,374,141,15,145.77,24.34,10,Snowy,0,24.9,Summer
2025-04-06,S003,P0009,Clothing,South,258,119,44,123.08,32.67,20,Snowy,1,32.79,Winter
2025-04-06,S003,P0010,Groceries,North,209,107,172,112.53,16.82,0,Rainy,0,17.14,Winter
2025-04-06,S003,P0011,Groceries,East,111,84,169,89.79,60.0,0,Sunny,1,57.83,Winter
2025-04-06,S003,P0012,Clothing,West,56,15,23,17.11,42.63,5,Snowy,0,46.27,Autumn
2025-04-06,S003,P0013,Clothing,West,402,364,168,335.96,33.64,10,Snowy,1,35.67,Spring
2025-04-06,S003,P0014,Clothing,South,199,50,25,40.72,43.42,5,Rainy,0,47.34,Spring
2025-04-06,S003,P0015,Clothing,North,405,79,39,82.39,85.7,15,Snowy,1,93.01,Winter
2025-04-06,S003,P0016,Groceries,West,302,31,188,27.82,56.14,10,Sunny,0,54.28,Winter
2025-04-06,S003,P0017,Groceries,West,283,216,96,230.11,22.36,10,Cloudy,0,22.42,Winter
2025-04-06,S003,P0018,Toys,East,474,33,120,33.52,56.65,5,Cloudy,0,61.03,Summer
2025-04-06,S003,P0019,Furniture,East,207,60,199,64.72,33.82,15,Cloudy,0,35.25,Winter
2025-04-06,S003,P0020,Furniture,North,365,305,183,303.21,28.31,0,Snowy,0,29.51,Autumn
2025-04-06,S004,P0001,Toys,East,225,20,30,19.36,64.15,15,Sunny,1,61.02,Autumn
2025-04-06,S004,P0002,Toys,West,75,29,176,24.51,81.73,0,Sunny,0,75.59,Summer
2025-04-06,S004,P0003,Clothing,West,202,149,16,151.53,53.11,15,Snowy,1,53.95,Autumn
2025-04-06,S004,P0004,Electronics,North,410,78,37,88.89,43.03,20,Cloudy,1,38.8,Summer
2025-04-06,S004,P0005,Toys,East,92,34,125,32.27,55.86,20,Sunny,1,52.7,Summer
2025-04-06,S004,P0006,Electronics,East,92,79,39,84.16,30.63,5,Sunny,0,29.95,Winter
2025-04-06,S004,P0007,Toys,South,350,44,3,52.74,33.93,10,Cloudy,1,35.11,Autumn
2025-04-06,S004,P0008,Clothing,West,287,158,93,128.43,72.86,15,Rainy,0,66.73,Winter
2025-04-06,S004,P0009,Electronics,West,106,11,141,9.22,39.59,15,Cloudy,0,40.44,Spring
2025-04-06,S004,P0010,Furniture,East,412,101,71,100.93,39.86,15,Snowy,0,40.88,Spring
2025-04-06,S004,P0011,Furniture,South,101,13,16,12.66,75.35,15,Cloudy,0,74.84,Autumn
2025-04-06,S004,P0012,Electronics,South,218,79,167,85.51,60.61,10,Sunny,1,60.06,Summer
2025-04-06,S004,P0013,Toys,South,257,158,65,146.63,95.35,0,Rainy,0,88.1,Autumn
2025-04-06,S004,P0014,Toys,South,262,146,151,161.97,87.2,0,Rainy,1,92.74,Spring
2025-04-06,S004,P0015,Toys,South,165,127,190,108.69,31.33,0,Sunny,0,28.32,Winter
2025-04-06,S004,P0016,Electronics,North,421,26,196,27.23,36.55,0,Rainy,1,36.03,Summer
2025-04-06,S004,P0017,Electronics,South,267,230,118,275.77,54.18,20,Rainy,0,58.46,Autumn
2025-04-06,S004,P0018,Toys,South,474,340,61,359.56,34.55,15,Sunny,1,33.44,Winter
2025-04-06,S004,P0019,Furniture,North,384,161,179,175.71,51.85,0,Snowy,1,47.4,Autumn
2025-04-06,S004,P0020,Toys,East,411,349,166,333.9,87.3,15,Rainy,1,85.8,Winter
2025-04-06,S005,P0001,Groceries,West,432,302,151,319.64,28.07,20,Sunny,0,25.43,Autumn
2025-04-06,S005,P0002,Toys,East,457,217,100,173.7,36.29,10,Snowy,1,38.45,Spring
2025-04-06,S005,P0003,Groceries,West,464,257,162,211.17,31.85,5,Rainy,1,33.39,Winter
2025-04-06,S005,P0004,Electronics,East,366,81,96,96.0,33.8,15,Rainy,0,36.5,Spring
2025-04-06,S005,P0005,Furniture,North,265,166,171,166.39,40.94,0,Rainy,0,42.68,Spring
2025-04-06,S005,P0006,Toys,North,452,184,134,165.43,12.87,10,Sunny,0,11.68,Winter
2025-04-06,S005,P0007,Groceries,South,314,26,177,29.31,96.34,0,Rainy,1,94.73,Winter
2025-04-06,S005,P0008,Toys,North,393,243,159,235.66,95.16,20,Rainy,0,92.58,Summer
2025-04-06,S005,P0009,Clothing,East,244,64,200,76.55,53.51,20,Snowy,1,52.43,Winter
2025-04-06,S005,P0010,Furniture,West,240,135,190,157.71,80.21,5,Cloudy,0,86.53,Spring
2025-04-06,S005,P0011,Furniture,North,418,62,76,54.5,70.93,5,Sunny,0,70.44,Autumn
2025-04-06,S005,P0012,Clothing,West,240,85,159,86.92,94.81,0,Rainy,0,91.75,Winter
2025-04-06,S005,P0013,Clothing,East,338,217,22,193.7,18.92,5,Cloudy,1,20.33,Spring
2025-04-06,S005,P0014,Furniture,South,106,73,152,87.34,15.84,15,Sunny,1,15.52,Autumn
2025-04-06,S005,P0015,Clothing,East,498,242,113,234.36,14.76,10,Rainy,0,15.65,Winter
2025-04-06,S005,P0016,Groceries,West,276,253,3,303.29,81.55,15,Cloudy,1,78.58,Winter
2025-04-06,S005,P0017,Clothing,West,312,21,10,22.17,16.69,10,Sunny,0,18.21,Summer
2025-04-06,S005,P0018,Furniture,East,133,0,52,0.0,68.12,20,Sunny,1,73.57,Autumn
2025-04-06,S005,P0019,Furniture,South,482,1,158,1.19,31.15,0,Snowy,0,29.36,Spring
2025-04-06,S005,P0020,Toys,South,272,226,106,256.15,22.55,0,Rainy,0,20.57,Autumn
